Sector,Main Sector,industry
"3D Printing, Manufacturing, Product Design",Manufacturing,manufacturing
"Automotive, Battery, Electric Vehicle, Manufacturing, Mechanical Design",Manufacturing,manufacturing
"Automotive, Battery, Energy, Energy Storage",Manufacturing,manufacturing
"Automotive, Electric Vehicle, Energy",Manufacturing,manufacturing
"Automotive, Electric Vehicle, Energy Storage",Manufacturing,manufacturing
"Automotive, Electric Vehicle, Renewable Energy",Manufacturing,manufacturing
Autonomous Vehicles,Manufacturing,manufacturing
"Battery, Electric Vehicle, Energy, Renewable Energy, Transportation",Manufacturing,manufacturing
"Computer, Furniture, Software",Manufacturing,manufacturing
Consumer Electronics,Manufacturing,manufacturing
"Consumer Electronics, Embedded Systems, Hardware, Smart Building, Software",Manufacturing,manufacturing
"Consumer Goods, Manufacturing",Manufacturing,manufacturing
Electric Vehicle,Manufacturing,manufacturing
Manufacturing,Manufacturing,manufacturing
"Manufacturing, Oil and Gas, Robotics",Manufacturing,manufacturing
"Manufacturing, Retail",Manufacturing,manufacturing
Mobile,Manufacturing,manufacturing
Packaging Services,Manufacturing,manufacturing
"Advertising, Consulting, Digital Marketing",Marketing & Communication,business
"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",Marketing & Communication,business
Marketing,Marketing & Communication,business
"Marketing, Social Media, Video",Marketing & Communication,business
"Marketplace, Real Estate, Rental Property",Marketing & Communication,business
"Advertising, Artificial Intelligence, Digital Media, iOS, Location Based Services, News, Video, Video on Demand, Video Streaming",Media Technology,business
"Analytics, Audio, Digital Media, Innovation Management, Internet Radio, Media and Entertainment",Media Technology,business
"Apps, Events, News",Media Technology,business
Digital Media,Media Technology,business
"Digital Media, EBooks, Publishing, Reading Apps",Media Technology,business
"Digital Media, Incubators, Social Entrepreneurship",Media Technology,business
"Digital Media, Internet, Media and Entertainment, Online Portals, Social Media",Media Technology,business
"Digital Media, News, Publishing",Media Technology,business
"File Sharing, Personalization, Social Media",Media Technology,business
"News, Publishing, Social Media",Media Technology,business
Social Media,Media Technology,business
"Social Media, Sports",Media Technology,business
"Basketball, Cricket, Cycling, eSports, Fitness, Golf, Health Care, Hockey, Sports, Swimming, Table Tennis, Volley Ball",Sports & Fitness,sports
"Digital Entertainment, Fantasy Sports, Gaming, Sports",Sports & Fitness,sports
"Digital Entertainment, Fantasy Sports, Sports",Sports & Fitness,sports
"Fitness, Sporting Goods, Sports",Sports & Fitness,sports
Sports,Sports & Fitness,sports
"Analytics, Computer Vision, Enterprise Software, Machine Learning, Natural Language Processing, Speech Recognition",Technology,technology
Apps,Technology,technology
"Apps, Audio",Technology,technology
"Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat",Technology,technology
